ax,ay,az,gx,gy,gz,time
401601.0,0.05,-0.32,9.95,0.02,0.02,-0.0
401614.0,0.01,-0.37,9.96,0.02,0.01,-0.0
401627.0,0.0,-0.37,9.9,0.02,0.01,-0.0
401640.0,0.09,-0.29,9.96,0.01,0.01,-0.0
401653.0,0.06,-0.11,9.97,0.02,0.01,0.04
401666.0,-0.09,0.18,9.69,0.03,0.01,0.12
401679.0,-0.6,0.3,9.85,0.01,0.01,0.28
401692.0,0.73,-1.7,10.17,0.01,0.02,0.25
401705.0,0.08,-1.79,9.98,0.03,0.02,-0.0
401718.0,0.06,-0.4,10.01,0.02,0.01,-0.0
401731.0,0.1,-0.37,9.95,0.02,0.01,-0.0
401744.0,0.07,-0.34,9.96,0.02,0.01,-0.0
401758.0,0.11,-0.37,9.92,0.01,0.01,-0.0
401771.0,0.05,-0.37,9.87,0.02,0.02,-0.0
401784.0,-0.15,-0.5,9.72,0.04,0.01,-0.01
401797.0,0.16,-0.71,10.11,-0.02,0.0,-0.0
401810.0,0.04,-0.44,9.96,0.01,0.01,0.0
401823.0,0.12,-0.42,9.99,0.01,0.01,-0.0
401836.0,0.1,-0.34,9.91,0.01,0.01,-0.0
401849.0,0.11,-0.4,9.96,0.01,0.01,0.0
401862.0,0.11,-0.37,9.94,0.01,0.01,-0.01
401875.0,0.08,-0.39,9.94,0.01,0.02,-0.0
401888.0,0.04,-0.36,10.01,0.02,0.01,0.0
401901.0,0.11,-0.29,9.93,0.02,0.01,-0.0
401914.0,0.09,-0.37,9.9,0.01,0.02,-0.0
401927.0,0.06,-0.36,9.95,0.01,0.02,0.0
401940.0,0.06,-0.35,9.93,0.01,0.01,-0.0
401953.0,0.1,-0.37,9.95,0.02,0.01,-0.0
401966.0,0.06,-0.4,9.97,0.01,0.02,-0.0
401979.0,0.12,-0.32,9.97,0.02,0.01,-0.0
401992.0,0.07,-0.4,9.94,0.01,0.01,-0.0
402006.0,0.06,-0.38,9.93,0.02,0.02,-0.0
402019.0,0.07,-0.36,9.87,0.01,0.01,-0.0
402032.0,0.14,-0.33,9.97,0.01,0.01,0.0
402045.0,0.08,-0.33,9.92,0.01,0.02,0.01
402058.0,0.09,-0.32,9.95,0.01,0.01,-0.0
402071.0,0.11,-0.37,9.95,0.01,0.02,-0.0
402084.0,0.07,-0.37,9.96,0.01,0.02,-0.0
402097.0,0.05,-0.35,9.94,0.01,0.01,-0.01
402110.0,0.11,-0.36,9.96,0.01,0.02,-0.01
402123.0,0.06,-0.33,9.93,0.01,0.01,0.0
402136.0,0.04,-0.32,9.9,0.01,0.01,0.0
