time_s,amp_no_control,phi_no_control,amp_sim,phi_sim,u_applied
8.75,-6703986000.0,-2.1614,-6703986000.0,0.9558090885051466,-0.09783247803843674
8.875,-6703986000.0,-2.2318923,-6703986000.0,0.9479275124070684,0.04232399097852011
9.0,-6703986000.0,-2.1918314,-6703986000.0,0.9481709878581424,0.161813766477126
9.125,-6703986000.0,-2.2011619,-6703986000.0,0.948708224534286,0.02200058246394137
9.25,-6703986000.0,-2.1671326,-6703986000.0,0.948756970411089,0.0183865881248769
9.375,-6703986000.0,-2.220756,-6703986000.0,0.9468403326715118,-0.04762219894526991
9.5,-6703986000.0,-2.2398036,-6703986000.0,0.9495455592854419,-0.031838918653145046
9.625,-6703986000.0,-2.1251726,-6703986000.0,0.9549381718847658,-0.05294593672376624
9.75,-6703986000.0,-2.195016,-6703986000.0,0.9514566853876208,-0.10285445869640186
9.875,-6703986000.0,-2.184192,-6703986000.0,0.9480777749891076,0.025258425980946943
10.0,-6703986000.0,-2.1960702,-6703986000.0,0.9445769120233936,0.03411379150889041
10.125,-6703986000.0,-2.187929,-6703986000.0,0.9408463057812824,0.061199884402258056
10.25,-6703986000.0,-2.2270226,-6703986000.0,0.9375252365611694,0.08793259864478116
10.375,-6703986000.0,-2.211499,-6703986000.0,0.9386693566289303,0.048017182462044256
10.5,-6703986000.0,-2.2109492,-6703986000.0,0.9404147725058281,-0.041964194785996396
10.625,-6703986000.0,-2.1951141,-6703986000.0,0.9425398322451279,-0.01764827724434441
10.75,-6703986000.0,-2.2094471,-6703986000.0,0.9446540544406785,-0.008000741988452473
10.875,-6703986000.0,-2.177685,-6703986000.0,0.9474997832067679,-0.0046489368775012975
11.0,-6703986000.0,-2.1707776,-6703986000.0,0.9468889217173095,0.0
11.125,-6703986000.0,-2.2179887,-6703986000.0,-2.2179887,0.0
11.25,-6703986000.0,-2.2041373,-6703986000.0,-2.2041373,0.0
11.375,-6703986000.0,-2.1871443,-6703986000.0,-2.1871443,0.0
11.5,-6703986000.0,-2.1880686,-6703986000.0,-2.1880686,0.0
11.625,-6703986000.0,-2.2091832,-6703986000.0,-2.2091832,0.0
